epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,114.667,1.2512,2.21808,0.97453,0.78058,0.86094,0.87073,0.32797,2.22234,1.91933,1.25181,0.000990365,0.000990365,0.000990365
43,117.152,1.47024,1.87179,1.24148,0.78058,0.86094,0.87073,0.32797,2.22234,1.91933,1.25181,0.000973861,0.000973861,0.000973861
44,119.789,1.57072,1.51464,1.23531,0.76831,0.875,0.81554,0.32477,2.35601,2.08274,1.29508,0.000957358,0.000957358,0.000957358
45,122.331,1.65838,1.7511,1.28613,0.73063,0.78154,0.7174,0.23186,2.38601,2.11578,1.25789,0.000940855,0.000940855,0.000940855
46,124.863,1.47638,1.51815,1.1821,0.8269,0.90153,0.92667,0.28456,2.41419,2.27367,1.22849,0.000924352,0.000924352,0.000924352
47,127.348,1.51635,1.70311,1.22502,0.8269,0.90153,0.92667,0.28456,2.41419,2.27367,1.22849,0.000907848,0.000907848,0.000907848
48,129.783,1.40899,1.73768,1.22839,0.82074,0.89878,0.92667,0.31287,2.31562,2.35474,1.1945,0.000891345,0.000891345,0.000891345
49,132.313,1.4991,1.51608,1.10604,0.75921,0.9107,0.92075,0.30864,2.16623,2.26755,1.19351,0.000874842,0.000874842,0.000874842
50,134.849,1.49632,1.59686,1.28169,0.83373,0.97563,0.93571,0.33595,2.16565,2.18422,1.23216,0.000858338,0.000858338,0.000858338
51,137.345,1.41258,1.52476,1.10034,0.83373,0.97563,0.93571,0.33595,2.16565,2.18422,1.23216,0.000841835,0.000841835,0.000841835
52,139.925,1.44107,1.58108,1.22389,0.87701,0.90197,0.91917,0.32807,2.13268,1.997,1.26144,0.000825332,0.000825332,0.000825332
53,142.457,1.13745,1.91017,0.96897,0.88503,0.89922,0.91917,0.37524,1.99776,1.86345,1.23357,0.000808828,0.000808828,0.000808828
54,145.025,1.4593,1.59059,1.17403,0.79247,0.92502,0.93333,0.43249,1.92489,1.91554,1.18967,0.000792325,0.000792325,0.000792325
55,147.55,1.59422,1.4876,1.2165,0.79247,0.92502,0.93333,0.43249,1.92489,1.91554,1.18967,0.000775822,0.000775822,0.000775822
56,150.063,1.45348,1.42059,1.22522,0.79343,0.91667,0.89733,0.42365,1.94903,1.86039,1.19318,0.000759318,0.000759318,0.000759318
57,152.617,1.77899,2.30528,1.19717,0.76201,0.90121,0.86489,0.40317,2.07811,1.8908,1.21879,0.000742815,0.000742815,0.000742815
58,155.046,1.39027,1.30927,1.12811,0.81945,0.8234,0.8679,0.3629,2.24245,2.02817,1.25776,0.000726312,0.000726312,0.000726312
59,157.481,1.47006,1.51305,1.23532,0.81945,0.8234,0.8679,0.3629,2.24245,2.02817,1.25776,0.000709809,0.000709809,0.000709809
60,159.963,1.5291,1.90455,1.25648,0.81946,0.83333,0.87679,0.33195,2.23631,2.2748,1.26197,0.000693305,0.000693305,0.000693305
61,162.524,1.3252,1.45624,1.09514,0.76174,0.89576,0.87764,0.34133,2.29513,2.43532,1.28799,0.000676802,0.000676802,0.000676802
62,165.088,1.36555,1.40054,1.10182,0.69727,0.8236,0.81757,0.33504,2.37007,2.29895,1.30887,0.000660299,0.000660299,0.000660299
63,167.829,1.37505,1.37577,1.15372,0.69727,0.8236,0.81757,0.33504,2.37007,2.29895,1.30887,0.000643795,0.000643795,0.000643795
64,170.491,1.31684,1.30849,1.12032,0.70452,0.82495,0.77165,0.29362,2.40653,2.18804,1.33347,0.000627292,0.000627292,0.000627292
65,173.078,1.24475,1.36137,1.09653,0.71697,0.82372,0.75525,0.30767,2.41189,2.06336,1.34726,0.000610789,0.000610789,0.000610789
66,175.675,1.44189,1.43379,1.09319,0.80734,0.90346,0.88595,0.28295,2.47321,1.95066,1.37571,0.000594286,0.000594286,0.000594286
67,178.242,1.43245,1.59655,1.11126,0.80734,0.90346,0.88595,0.28295,2.47321,1.95066,1.37571,0.000577782,0.000577782,0.000577782
68,180.9,1.23187,1.46504,1.19634,0.79557,0.87188,0.87278,0.24322,2.54506,1.86939,1.40767,0.000561279,0.000561279,0.000561279
69,183.489,1.2735,1.38201,1.1173,0.78435,0.87032,0.82766,0.24517,2.57775,1.84447,1.40463,0.000544776,0.000544776,0.000544776
70,186.075,1.32516,1.71481,1.08641,0.84569,0.86607,0.83909,0.25638,2.55849,1.9427,1.38512,0.000528272,0.000528272,0.000528272
71,188.642,1.42575,1.48904,1.27649,0.84569,0.86607,0.83909,0.25638,2.55849,1.9427,1.38512,0.000511769,0.000511769,0.000511769
72,191.334,1.0288,1.75092,0.86862,0.85679,0.875,0.83909,0.25548,2.53461,1.95269,1.37872,0.000495266,0.000495266,0.000495266
73,193.982,1.42733,1.47871,1.03958,0.67491,0.70481,0.59538,0.22385,2.5126,1.89252,1.37613,0.000478762,0.000478762,0.000478762
74,196.564,1.29304,1.36957,1.17607,0.65081,0.70833,0.59765,0.26069,2.51286,1.81256,1.39252,0.000462259,0.000462259,0.000462259
75,199.161,1.1971,1.23884,1.00475,0.65081,0.70833,0.59765,0.26069,2.51286,1.81256,1.39252,0.000445756,0.000445756,0.000445756
76,201.791,1.4951,1.44951,1.16144,0.71994,0.79016,0.66657,0.24085,2.44162,1.82213,1.37711,0.000429253,0.000429253,0.000429253
77,204.436,1.13077,1.85113,0.91343,0.72148,0.79167,0.65007,0.21805,2.46257,1.82475,1.39353,0.000412749,0.000412749,0.000412749
78,207.013,1.28219,1.34336,1.105,0.70093,0.79167,0.66657,0.22023,2.55709,1.84936,1.42801,0.000396246,0.000396246,0.000396246
79,209.601,1.2209,1.19988,1.03148,0.70093,0.79167,0.66657,0.22023,2.55709,1.84936,1.42801,0.000379743,0.000379743,0.000379743
80,212.181,1.24053,1.25785,1.09679,0.77192,0.70187,0.60678,0.21445,2.55491,1.88569,1.42053,0.000363239,0.000363239,0.000363239
81,214.859,1.25052,1.61766,1.16872,0.653,0.70833,0.58607,0.20625,2.51353,2.02426,1.39546,0.000346736,0.000346736,0.000346736
82,217.476,1.41535,1.40854,1.06969,0.61816,0.70156,0.63101,0.24192,2.46434,2.1183,1.36127,0.000330233,0.000330233,0.000330233
83,220.057,1.05881,1.67918,0.94922,0.61816,0.70156,0.63101,0.24192,2.46434,2.1183,1.36127,0.000313729,0.000313729,0.000313729
84,222.673,1.33121,1.37367,1.09917,0.62516,0.7181,0.61765,0.24331,2.48959,2.03704,1.3794,0.000297226,0.000297226,0.000297226
85,225.388,1.1329,1.17838,1.02568,0.657,0.70833,0.57089,0.20655,2.44144,1.97361,1.35647,0.000280723,0.000280723,0.000280723
86,228.009,1.19613,1.2719,1.07586,0.7559,0.78897,0.66665,0.2111,2.46153,1.91966,1.34938,0.00026422,0.00026422,0.00026422
87,230.627,1.12154,1.18651,1.05431,0.7559,0.78897,0.66665,0.2111,2.46153,1.91966,1.34938,0.000247716,0.000247716,0.000247716
88,233.197,0.88464,1.63717,0.8461,0.75901,0.7871,0.66805,0.20102,2.47436,1.95559,1.35387,0.000231213,0.000231213,0.000231213
89,235.845,1.37041,1.39916,1.10848,0.76312,0.79134,0.67138,0.19808,2.4537,2.00926,1.35876,0.00021471,0.00021471,0.00021471
90,238.467,0.87481,1.61126,0.82975,0.76018,0.79167,0.66805,0.19797,2.44499,2.03359,1.36209,0.000198206,0.000198206,0.000198206
91,241.122,1.14403,1.39024,1.13268,0.76018,0.79167,0.66805,0.19797,2.44499,2.03359,1.36209,0.000181703,0.000181703,0.000181703
92,243.71,1.21931,1.48982,1.23753,0.758,0.79167,0.66665,0.20449,2.4817,2.00334,1.37435,0.0001652,0.0001652,0.0001652
93,246.27,1.02353,1.26177,1.01898,0.75432,0.79167,0.66805,0.21104,2.50525,1.91976,1.373,0.000148696,0.000148696,0.000148696
94,248.844,1.03391,1.31973,1.11674,0.75825,0.79167,0.66806,0.21047,2.53226,1.87622,1.37871,0.000132193,0.000132193,0.000132193
95,251.36,1.145,1.34741,1.05659,0.75825,0.79167,0.66806,0.21047,2.53226,1.87622,1.37871,0.00011569,0.00011569,0.00011569
96,253.934,0.97825,1.5023,1.00278,0.75451,0.78824,0.66538,0.21104,2.53425,1.889,1.37213,9.91865e-05,9.91865e-05,9.91865e-05
97,256.629,1.01399,1.22264,1.01344,0.75369,0.78592,0.65593,0.23731,2.52643,1.89481,1.3653,8.26832e-05,8.26832e-05,8.26832e-05
98,259.468,1.06064,1.31996,1.03748,0.74734,0.77728,0.65471,0.23119,2.52202,1.91221,1.36029,6.61799e-05,6.61799e-05,6.61799e-05
99,262.242,1.05235,1.37569,0.99718,0.74734,0.77728,0.65471,0.23119,2.52202,1.91221,1.36029,4.96766e-05,4.96766e-05,4.96766e-05
100,264.985,1.05776,1.38943,1.14919,0.74628,0.77343,0.6555,0.22793,2.5242,1.90345,1.3564,3.31733e-05,3.31733e-05,3.31733e-05
